id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm;license
24988516;DAZZLING LOFT WITH TERRACE IN TRENDY CHIADO;4032515;Isabelle;Lisboa;Misericrdia;3.871.102;-914.359;Entire home/apt;119;3;103;05.09.2021;Feb 68;2;313;9;71974/AL
24989016;My Colombo place;154188587;Nataliya;Lisboa;Benfica;3.875.225;-919.098;Entire home/apt;50;2;4;01.01.2019;0.11;3;346;0;70856/AL
24992122;Estoril Sea Tower;36698658;Sandra Marisa;Cascais;Cascais e Estoril;3.870.005;-937.993;Entire home/apt;93;2;19;05.06.2019;0.48;1;0;0;85508/AL
24993015;Renovated Sunny Apartment with Balcony, by Timecooler;74171605;Rui & Elsa;Lisboa;So Vicente;387.193;-912.998;Entire home/apt;76;2;170;23.07.2021;Apr 47;20;348;26;71391/AL
24995023;BOA LISBOA, private apartment with shared entrance;29411085;Yiguang;Lisboa;Arroios;3.872.684;-91.337;Private room;37;2;19;24.11.2019;0.66;4;12;5;60980/AL
25000183;Lisbon's Red Room (with Private Bathroom);1208572;Felipe;Lisboa;Areeiro;387.441;-913.989;Private room;18;1;13;20.08.2019;0.34;33;258;0;45811/AL
25009136;Cozy and Sunny in Graça!;84700397;Joao;Lisboa;So Vicente;387.195;-913.041;Entire home/apt;27;4;46;25.03.2020;Jan 20;3;212;0;85325/AL
25014175;[Safe&Clean] Almirante GuestHouse - Quarto2;189080208;Cláudia E José;Lisboa;Arroios;3.873.129;-913.419;Private room;28;1;16;10.07.2018;0.40;12;141;0;71449/AL
25023102;"Quarto ""T-Rex""";189163908;DinoSousa;Lourinh;Lourinh e Atalaia;3.926.771;-931.201;Shared room;30;1;0;;;3;89;0;70981/AL
25024104;Rooms with sea view, Praia do Areal;507901;Ana E Lucien;Lourinh;Lourinh e Atalaia;392.533;-933.304;Private room;30;1;6;21.08.2021;0.23;7;67;3;Exempt
25030199;Ericeira Boutique Apartment - byÉME®;45451607;ByÉME;Mafra;Ericeira;3.896.947;-941.732;Entire home/apt;130;2;15;14.10.2020;0.60;1;339;3;71663/AL
25032651;Casa dos Atores;134297361;Casa;Lisboa;Penha de Frana;3.873.592;-912.924;Entire home/apt;120;3;1;28.07.2018;0.03;1;365;0;Exempt
25032681;Casa da Estrela - Cosy & Quiet - Next to Tram28!;4419386;Diana;Lisboa;Estrela;3.871.211;-915.494;Entire home/apt;65;3;42;02.10.2019;01. Jul;5;222;0;56660/AL
25037859;Casa do Vale;69822541;Luis Feliz;Lisboa;So Vicente;3.871.821;-912.394;Entire home/apt;54;3;61;09.09.2021;Jan 51;5;344;2;36473/2018
25039779;"Quarto ""Lourinhanossauro""";189163908;DinoSousa;Lourinh;Lourinh e Atalaia;3.926.636;-931.169;Private room;50;1;0;;;3;89;0;70981/AL
25040506;Full of light & good vibes duplex - Torel Garden;6408128;Francisco;Lisboa;Arroios;3.871.887;-913.961;Entire home/apt;80;2;25;23.10.2019;0.66;3;0;0;77569/AL
25041217;"Quarto ""Tiranossauro""";189163908;DinoSousa;Lourinh;Lourinh e Atalaia;3.926.656;-931.171;Private room;59;1;0;;;3;0;0;70981/AL
25042553;Tile Bedroom, Lisbon Airport Suites;186965975;Lisbon Airport Suites;Lisboa;Olivais;3.876.078;-911.246;Hotel room;93;1;2;05.12.2019;0.08;4;365;0;77770/AL
25044094;Alfama Economic;115636172;Fernando;Lisboa;Santa Maria Maior;3.871.158;-912.938;Entire home/apt;50;2;6;24.09.2019;0.22;14;258;0;70570/AL
25044741;Casa da Gloria · PREMIUM ·;538753;André & Cristina;Lisboa;Santo Antnio;3.871.688;-914.524;Entire home/apt;88;2;67;05.07.2021;Jan 74;7;228;6;70805/AL
25045225;The Páteo House;138223642;Pedro;Lisboa;Santa Maria Maior;3.870.913;-913.204;Entire home/apt;60;3;136;07.09.2021;Mrz 38;2;62;23;66349/AL
