id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm;license
26424486;Swimming pool at Estrela;10808682;Isabel And Steven;Lisboa;Estrela;3.871.262;-915.812;Entire home/apt;100;2;41;31.10.2021;1.00;1;1;7;76397/AL
26424880;Central Apartment Lisbon;198687205;Mafalda;Lisboa;Arroios;3.872.383;-913.312;Entire home/apt;60;3;13;11.10.2019;0.32;1;343;0;79344/AL
26425584;&now for sthg completely different;17540983;Ulpiano;Lisboa;Estrela;3.870.882;-915.664;Private room;34;2;99;31.10.2020;Feb 38;1;0;0;76103/AL
26440741;MiraGuincho;4972896;Rita Morais;Cascais;Alcabideche;3.875.363;-945.781;Entire home/apt;94;4;3;29.08.2020;0.07;37;339;0;75677/AL
26442432;Comfortable apartment w/river views by LovelyStay;257927631;LovelyStay;Lisboa;So Vicente;3.872.178;-912.681;Entire home/apt;129;2;40;30.10.2021;01. Feb;70;171;9;74917/AL
26443415;Amazing Rooftop Terrace at City Center;25841048;Second House;Lisboa;Santa Maria Maior;3.870.962;-913.574;Entire home/apt;174;3;84;28.11.2021;02. Feb;21;220;29;76128/AL
26446692;"wooden ""Chalé""";33928344;Cristina;Lisboa;Penha de Frana;3.872.374;-913.128;Entire home/apt;35;2;71;27.09.2021;Jan 73;3;260;6;76295/AL
26447051;Suite Apartment with Patio in Old Town;169496343;Alberto;Lisboa;Misericrdia;3.871.499;-915.226;Entire home/apt;40;3;66;14.09.2021;Jan 59;2;283;10;77892/AL
26448751;Suite privada em Cadaval - CASA DA EIRA- ELEFANTE;108613673;Clara;Cadaval;Cadaval e Pro Moniz;3.924.374;-91.029;Hotel room;89;2;2;12.07.2019;0.07;5;333;0;7865
26451557;Beautiful private NEW house 10min from the beach;3739653;Joana;Oeiras;Oeiras e S.Julio da Barra, Pao de Arcos e Caxias;3.870.168;-928.914;Entire home/apt;106;3;6;15.10.2021;0.15;1;178;1;76137/AL.
26451751;Central Lisbon Terrace View;134217335;Apartment;Lisboa;Campolide;387.271;-91.703;Entire home/apt;126;5;0;;;3;89;0;76332/AL
26451780;Traditionally in Lisbon;8177737;Maria;Lisboa;Arroios;387.235;-913.384;Entire home/apt;50;8;7;24.09.2021;0.31;4;40;6;88056/AL
26452023;Your Home | Santo Amaro Apartment in Lisbon;17125036;Rita & Helder;Lisboa;Alcntara;3.870.214;-918.269;Entire home/apt;48;3;82;24.11.2021;Jan 98;6;320;15;76344/AL
26458047;TIRES GUEST HOUSE - MARINA DE OEIRAS;192076860;Faustino De Jesus;Cascais;So Domingos de Rana;3.871.287;-93.373;Private room;55;1;0;;;7;364;0;72624AL
26458249;"""HomeySuite"" in Fontaínhas";102336875;Ricardo;Cascais;Cascais e Estoril;3.870.818;-942.186;Entire home/apt;50;2;66;12.11.2021;Jan 58;8;291;26;90097/AL
26458290;TIRES GUEST HOUSE- CARCAVELOS;192076860;Faustino De Jesus;Cascais;So Domingos de Rana;3.871.197;-933.848;Private room;55;1;0;;;7;364;0;72624AL
26458455;TIRES GUEST HOUSE - PARQUE DOS POETAS;192076860;Faustino De Jesus;Cascais;So Domingos de Rana;3.871.338;-933.682;Private room;55;1;0;;;7;364;0;72624AL
26458568;TIRES GUEST HOUSE-ESTORIL;192076860;Faustino De Jesus;Cascais;So Domingos de Rana;3.871.357;-933.697;Private room;50;1;5;25.10.2021;0.77;7;358;5;72624AL
26458621;TIRES GUEST HOUSE - MARINA DE CASCAIS;192076860;Faustino De Jesus;Cascais;So Domingos de Rana;3.871.218;-933.438;Private room;60;1;1;13.08.2021;0.25;7;364;1;72624AL
26459535;Sara & patricia’s B&B;189584385;Patricia;Cascais;Cascais e Estoril;3.869.975;-942.151;Private room;30;1;90;12.11.2021;Feb 20;1;336;31;Exempt
26460261;TIRES GUEST HOUSE - OEIRAS;192076860;Faustino De Jesus;Cascais;So Domingos de Rana;3.871.193;-933.853;Private room;55;1;0;;;7;364;0;72624AL
26460712;Home in Lisbon 2 - central apartment with balcony!;198980095;Miguel;Lisboa;Santa Maria Maior;3.871.237;-91.369;Entire home/apt;1530;5;167;20.06.2021;04. Feb;1;197;4;65162/AL
26461175;Discovering Portugal;198874732;Renata;Cascais;Carcavelos e Parede;3.868.669;-932.622;Entire home/apt;80;4;7;24.09.2021;0.17;2;0;3;Exempt
26464363;Sweet Life Lisbon near Downtown & Santa Apolónia;198178742;Jessica&Jhoy;Lisboa;Penha de Frana;3.872.494;-911.632;Private room;29;1;52;03.12.2021;Jan 25;2;270;6;76335/AL
26468016;NEW ALFAMA CHIC SAO MIGUEL;6194055;Maciel;Lisboa;Santa Maria Maior;3.871.165;-912.858;Entire home/apt;62;2;54;05.12.2021;Jan 30;6;346;15;62844/AL
26468945;Villa Almosquia;199039294;Helena;Cascais;Cascais e Estoril;3.871.722;-943.811;Entire home/apt;236;3;21;09.02.2020;0.51;4;0;0;Exempt
26469516;Orange Bedroom - Marquês de Pombal (1 guest);52570650;Casinha Da Tia Maria Project;Lisboa;Santo Antnio;3.872.332;-91.529;Private room;30;18;34;16.09.2021;0.82;16;0;4;75960/AL
26470261;Comfy & Luminous Bedroom;52570650;Casinha Da Tia Maria Project;Lisboa;Santo Antnio;3.872.451;-915.346;Private room;40;15;36;14.09.2021;0.86;16;0;2;75960/AL
